"464490524,2026-07-10T10:00:44Z,1405/04/19 13:30,بورس علی,kakazad,quote,#شاخص_بورس \nسهامدار خرد نفروشید ، چند بار باید از یک سوراخ گزیده بشیم ، این قضيه داره بارها تکرار میشه \nتوقف حملات آمر یکا برای فرصت دادن به دیپلماسی\n🔸 اعلام رسمی پایان «آتش‌بس» از سوی رئیس جمهور آمر یکا، در حال حاضر فعال‌سازی کانال‌های دیپلماتیک پنهان و کاهش تنش‌ها را در اولویت قرار داده و از انجام حملات جدید نظا می خودداری کرده است.\n🔸در این میان کشورهای ق طر، پا کستان، تر کیه، م صر و عر بستان تماس‌های تلفنی فشرده‌ای را به طور هم‌زمان با مقامات عالی‌رتبه وا شنگتن و تهران برقرار کرده‌اند تا از فروپاشی تفاهم‌نامه فی‌مابین پیشگیری کرده و مذ اکرات را احیا کنند."
"464490516,2026-07-10T10:00:28Z,1405/04/19 13:30,kaveh,kaveh83,twit,#بورس_را_تعطیل_کنید تعطیلی بازار یعنی مررگ تدریجی🤚باید برای فروشنده و خریدار فرصت باشه🤚"
"464490491,2026-07-10T09:59:07Z,1405/04/19 13:29,فقط شپلی,nor16464,quote,حتما خیلی خریدی اومدی خبر میدی،"
"464490470,2026-07-10T09:57:57Z,1405/04/19 13:27,ایران وطنم پاره تنم,ram7878,quote,#عیار بورس فردا آخر وقت با گزارش های عالی شرکت ها و آرامش در کشور و خاموشی دلالان دیگر بازارها به شدت افزایشی هست"
"464490412,2026-07-10T09:56:20Z,1405/04/19 13:26,محمدی,hamed106,quote,#شاخص_بورس"
"464490392,2026-07-10T09:54:58Z,1405/04/19 13:24,یوز پلنگ آسیایی,yaemamreza2,twit,#غبشهر \nحوالی ۹۰۰ بسیار سر سخت خواهد بود و میتونه پایان این شاخه صعودی رو رقم بزنه\n\nپلنگ/گیلان\n۱۹ تیر ۱۴۰۵"
"464490384,2026-07-10T09:53:52Z,1405/04/19 13:23,Hossein,hossein_1365,twit,#شاخص_بورس \n🔴 اکسیوس :\n\nایران و آمریکا از طریق میانجی‌ها توافق کردن فعلاً به همدیگه حمله نکنن و برای حل اختلاف‌هاشون، به‌خصوص درباره تنگه هرمز، دوباره پای میز مذاکره برن."
"464490379,2026-07-10T09:53:39Z,1405/04/19 13:23,صابر 123456,saber123gh456,twit,#شاخص_بورس ملک ، خودرو ، طلا ، کالاها  ، خدمات ، خوراکی ها ، البسه و ...  به قیمت جهانی با شما سهامداران حساب میشه\nقیمت سهام شما که همون ملک و خودرو و کالاها رو بهتون به قیمت جهانی میفروشن به یک بیستم قیمت جهانی هم با شما حساب نشده \nیک جای کار بدجوری میلنگه \nیا اونا رو خیلی خیلی خیلی گرون با شما حساب میکنن یا سهامتون رو به ثمن بخس باهاتون حساب میکنن .\nدر تایمی میان مدت خواهیم دید چه می شود !"
"464490362,2026-07-10T09:52:23Z,1405/04/19 13:22,milfund94,milfund94,twit,#شاخص_بورس دوستان این وام ۲۰۰ تومن لطفاً همه پیگیر باشیم یه راهکاری پیدا کنین برای گرفتنش"
"464490351,2026-07-10T09:51:42Z,1405/04/19 13:21,سهامدار مسدود شده,sahamdarmasdood,twit,#گکوثر سقف خارج شدم\nفعلا سیگنال ورود نداده"
